City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Lorengau,PG,82.11,light rain,-2.0226,147.2712,
9,Atuona,PF,80.74,overcast clouds,-9.8,-139.0333,
11,Ahuimanu,US,78.8,light rain,21.4447,-157.8378,
14,Chilca,PE,75.0,clear sky,-12.5211,-76.7372,
15,Isangel,VU,80.37,overcast clouds,-19.55,169.2667,
18,Kpandae,GH,81.05,overcast clouds,8.4689,-0.0113,
29,Avarua,CK,84.2,overcast clouds,-21.2078,-159.775,
39,Sao Jose De Ribamar,BR,77.0,scattered clouds,-2.5619,-44.0542,
50,Vaini,TO,78.8,broken clouds,-21.2,-175.2,
51,Alice Springs,AU,80.6,clear sky,-23.7,133.8833,
55,Geraldton,AU,82.4,scattered clouds,-28.7667,114.6,
65,Butaritari,KI,82.6,light rain,3.0707,172.7902,
67,Faanui,PF,82.8,few clouds,-16.4833,-151.75,
68,Victoria,HK,80.01,few clouds,22.2855,114.1577,
74,Kapaa,US,75.2,light rain,22.0752,-159.319,
80,Touros,BR,75.2,broken clouds,-5.1989,-35.4608,
82,Hithadhoo,MV,83.53,broken clouds,-0.6,73.0833,
86,Arraial Do Cabo,BR,75.31,scattered clouds,-22.9661,-42.0278,
89,Puerto Ayora,EC,77.0,broken clouds,-0.7393,-90.3518,
97,Wanning,CN,84.04,clear sky,18.8003,110.3967,
98,Bom Jesus,BR,76.89,broken clouds,-9.0744,-44.3586,
102,George Town,MY,84.0,scattered clouds,5.4112,100.3354,
103,Sao Jose Da Coroa Grande,BR,77.43,few clouds,-8.8978,-35.1478,
104,Saint-Joseph,RE,77.0,clear sky,-21.3667,55.6167,
107,Cayenne,GF,80.01,broken clouds,4.9333,-52.3333,
109,Bambous Virieux,MU,80.01,light rain,-20.3428,57.7575,
110,Rikitea,PF,78.3,scattered clouds,-23.1203,-134.9692,
123,Saint-Philippe,RE,77.0,light rain,-21.3585,55.7679,
125,Bubaque,GW,75.04,scattered clouds,11.2833,-15.8333,
127,Namibe,AO,76.37,broken clouds,-15.1961,12.1522,
137,Dwarka,IN,81.25,clear sky,22.2394,68.9678,
140,Padang,ID,78.8,light rain,-0.9492,100.3543,
146,Hambantota,LK,77.0,clear sky,6.1241,81.1185,
152,Mahebourg,MU,78.8,light rain,-20.4081,57.7,
164,Sibu,MY,84.2,few clouds,2.3,111.8167,
166,Sahuaripa,MX,75.24,clear sky,29.05,-109.2333,
170,Kavaratti,IN,82.29,scattered clouds,10.5669,72.642,
172,Quatre Cocos,MU,80.01,light rain,-20.2078,57.7625,
176,Puerto Colombia,CO,78.8,fog,10.9878,-74.9547,
180,Madang,PG,77.54,moderate rain,-5.2246,145.7966,
185,Maceio,BR,78.8,scattered clouds,-9.6658,-35.7353,
196,Kavieng,PG,83.73,light rain,-2.5744,150.7967,
202,Lamu,KE,82.4,moderate rain,-2.2717,40.902,
203,Conceicao Do Araguaia,BR,77.0,clear sky,-8.2578,-49.2647,
208,Carutapera,BR,75.83,broken clouds,-1.195,-46.02,
211,Taoudenni,ML,84.04,overcast clouds,22.6783,-3.9836,
212,Bengkulu,ID,80.8,overcast clouds,-3.8004,102.2655,
219,Guanica,PR,75.0,overcast clouds,17.9716,-66.908,
231,Caravelas,BR,76.23,overcast clouds,-17.7125,-39.2481,
234,Punta Cardon,VE,78.01,overcast clouds,11.6581,-70.215,
235,Angoche,MZ,75.87,scattered clouds,-16.2325,39.9086,
247,Georgetown,MY,84.0,scattered clouds,5.4112,100.3354,
254,Mount Isa,AU,84.2,clear sky,-20.7333,139.5,
269,Thinadhoo,MV,83.01,clear sky,0.5333,72.9333,
282,Palmerston,AU,84.2,light rain,-12.485999999999999,130.9833,
294,Bonfim,BR,78.62,overcast clouds,3.0833,-59.95,
299,Bandarbeyla,SO,77.29,overcast clouds,9.4942,50.8122,
300,Nieuw Nickerie,SR,77.59,overcast clouds,5.95,-56.9833,
304,Gladstone,AU,77.0,overcast clouds,-23.85,151.25,
307,Samdrup Jongkhar,BT,78.64,clear sky,26.9167,91.6167,
309,Zarumilla,PE,75.7,overcast clouds,-3.5031,-80.2731,
311,Tevaitoa,PF,82.62,few clouds,-16.7833,-151.5,
314,Moranbah,AU,76.24,overcast clouds,-22.0016,148.0466,
320,Leo,BF,78.98,scattered clouds,11.1,-2.1,
322,Pedasi,PA,79.14,overcast clouds,7.5333,-80.0333,
323,Porto Novo,BJ,79.7,scattered clouds,6.4965,2.6036,
324,Kudahuvadhoo,MV,82.09,scattered clouds,2.6708,72.8944,
327,Batticaloa,LK,82.81,broken clouds,7.7102,81.6924,
328,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,
331,Sinnamary,GF,77.58,heavy intensity rain,5.3833,-52.95,
339,Dubti,ET,77.88,clear sky,11.7361,41.0853,
341,Salinopolis,BR,77.63,overcast clouds,-0.6136,-47.3561,
353,Kattivakkam,IN,82.4,mist,13.2167,80.3167,
357,Tiko,CM,78.8,scattered clouds,4.0745,9.3699,
360,Bodden Town,KY,78.8,few clouds,19.2833,-81.25,
371,Galle,LK,82.81,few clouds,6.0367,80.217,
372,Lucea,JM,78.8,broken clouds,18.451,-78.1736,
373,Birao,CF,77.45,broken clouds,10.2849,22.7882,
375,Cabo San Lucas,MX,80.6,clear sky,22.8909,-109.9124,
377,Port-Gentil,GA,79.93,moderate rain,-0.7193,8.7815,
378,Nelson Bay,AU,80.01,broken clouds,-32.7167,152.15,
379,Kinablangan,PH,84.49,broken clouds,7.6947,126.5503,
390,Ende,ID,75.74,overcast clouds,-8.8432,121.6623,
398,Alofi,NU,84.2,scattered clouds,-19.0595,-169.9187,
400,Poum,NC,81.01,overcast clouds,-20.2333,164.0167,
403,Bhimunipatnam,IN,82.94,clear sky,17.8833,83.4333,
405,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,
406,Port Blair,IN,83.48,scattered clouds,11.6667,92.75,
407,Japura,ID,80.42,overcast clouds,-0.3167,102.35,
412,Makakilo City,US,80.6,light rain,21.3469,-158.0858,
416,Kapoeta,SS,77.45,light rain,4.7717,33.5903,
421,Sola,VU,82.96,overcast clouds,-13.8833,167.55,
424,Ruwi,OM,77.0,clear sky,23.5996,58.5507,
425,Ranong,TH,84.2,few clouds,9.9658,98.6348,
429,Lakes Entrance,AU,84.0,clear sky,-37.8811,147.981,
430,Kieta,PG,84.88,light rain,-6.2167,155.6333,
432,Nisia Floresta,BR,75.2,broken clouds,-6.0911,-35.2086,
435,Areia Branca,BR,78.6,broken clouds,-4.9561,-37.1369,
440,Hasaki,JP,75.0,broken clouds,35.7333,140.8333,
446,Acapulco,MX,80.6,few clouds,16.8634,-99.8901,
447,Paracuru,BR,81.0,scattered clouds,-3.41,-39.0306,
456,Matamoros,MX,84.2,few clouds,25.5333,-103.25,
458,Noumea,NC,82.4,overcast clouds,-22.2763,166.4572,
464,Alappuzha,IN,82.04,scattered clouds,9.49,76.3264,
467,Saint George,US,80.6,clear sky,37.1041,-113.5841,
469,Clarence Town,AU,80.01,broken clouds,-32.5833,151.7833,
474,Winneba,GH,78.82,few clouds,5.3511,-0.6231,
476,Bam,IR,76.35,broken clouds,29.105999999999998,58.357,
478,Road Town,VG,77.0,overcast clouds,18.4167,-64.6167,
484,Sorong,ID,84.72,overcast clouds,-0.8833,131.25,
487,Cap Malheureux,MU,80.01,light rain,-19.9842,57.6142,
499,Savannakhet,LA,84.2,light rain,16.566,104.751,
501,Kodinar,IN,81.14,clear sky,20.7903,70.7031,
504,Hobyo,SO,81.82,overcast clouds,5.3505,48.5268,
506,Wamba,NG,77.65,overcast clouds,8.9333,8.6,
517,Wewak,PG,78.98,overcast clouds,-3.5534,143.6268,
518,Emerald,AU,80.6,overcast clouds,-23.5333,148.1667,
524,Ixtapa,MX,77.0,few clouds,20.7,-105.2,
525,San Cristobal,VE,78.8,drizzle,7.7669,-72.225,
530,Kalaiya,NP,84.36,clear sky,27.0327,85.0022,
536,Cockburn Town,TC,76.33,broken clouds,21.4612,-71.1419,
537,Sulangan,PH,82.45,broken clouds,11.1373,123.7228,
538,Boa Vista,BR,84.2,broken clouds,2.8197,-60.6733,
540,Araouane,ML,78.57,clear sky,18.9048,-3.5265,
541,Kilindoni,TZ,80.38,moderate rain,-7.9139,39.6668,
544,Saint-Louis,SN,81.34,clear sky,16.3333,-15.0,
575,Iralaya,HN,76.86,few clouds,15.0,-83.2333,
580,Ouahigouya,BF,76.84,clear sky,13.5828,-2.4216,
587,Delta,NG,77.67,overcast clouds,5.5,6.0,
590,Yenagoa,NG,77.43,broken clouds,4.9247,6.2642,
593,Saint-Georges,GD,78.8,few clouds,12.0564,-61.7485,
597,Vanimo,PG,83.3,overcast clouds,-2.6741,141.3028,
599,Belmonte,BR,75.2,scattered clouds,-15.8631,-38.8828,
600,Samarai,PG,84.61,moderate rain,-10.6167,150.6667,
608,Ocos,GT,82.4,scattered clouds,14.5094,-92.1933,
620,Mahajanga,MG,75.2,few clouds,-15.7167,46.3167,
621,Grand Gaube,MU,80.01,light rain,-20.0064,57.6608,
623,Naze,JP,75.2,broken clouds,28.3667,129.4833,
631,Axim,GH,78.87,few clouds,4.8699,-2.2405,
633,Mvomero,TZ,78.8,scattered clouds,-6.25,38.6667,
634,Omboue,GA,76.01,light rain,-1.5746,9.2618,
635,Manaure,CO,79.61,overcast clouds,11.7751,-72.4445,
641,Tabou,CI,78.39,broken clouds,4.423,-7.3528,
650,Jibuti,DJ,80.6,clear sky,11.5,42.5,
652,Vao,NC,76.12,broken clouds,-22.6667,167.4833,
654,Madimba,TZ,75.2,moderate rain,-10.4,40.3333,
658,Mahibadhoo,MV,82.78,few clouds,3.7833,72.9667,
659,Honolulu,US,78.8,light rain,21.3069,-157.8583,
661,Rantauprapat,ID,76.32,overcast clouds,2.1,99.8333,
667,Along,IN,77.09,broken clouds,28.1667,94.7667,
670,Kribi,CM,80.11,light rain,2.95,9.9167,
672,Christchurch,NZ,82.99,clear sky,-43.5333,172.6333,
674,Mae Ramat,TH,77.0,broken clouds,16.984,98.5166,
680,Neiafu,TO,84.2,scattered clouds,-18.65,-173.9833,
683,Harnai,PK,77.31,few clouds,30.1005,67.9374,
688,Camapua,BR,75.15,overcast clouds,-19.5314,-54.0439,
690,Waingapu,ID,75.42,moderate rain,-9.6567,120.2641,
695,Aracati,BR,77.02,broken clouds,-4.5617,-37.7697,
696,Natitingou,BJ,75.87,scattered clouds,10.3042,1.3796,
707,Salina Cruz,MX,75.76,clear sky,16.1667,-95.2,
712,Moerai,PF,79.66,few clouds,-22.4333,-151.3333,
713,Matara,LK,83.07,few clouds,5.9485,80.5353,
